,ADDRLOSRC,ADDRHISRC,R/W,WMEMSRC,ALU1SRC,ALU2SRC,ALU2INV,ALUCINSRC,ALUOP,SPSRC,PCLOSRC,PCHISRC,Status,INCPC,OPCODECTRL,STARTFETCH,STARTDECODE,CSKIP,Stop uCode
,ALUOUT,PCHI,R,,PCHI,0,0,ALUCOUT,+,,ALUOUT,,,not_c_out,0,,not_c_out,,not_c_out
,,ALUOUT,R,,,,,,,,,ALUOUT,,1,0,,1,,1
IXIDR,RMEM,0,R,,X,RMEM,0,0,+,,,,,0,0,,,,
,ALUOUT,0,R,,ALUOUT,0,0,1,+,,,,,0,0,,,,
,ALUOUT,0,R,,,,,,,,,,,0,0,,,,
,RMEMBUFFER,RMEM,R,,,,,,,,,,,0,0,1,,,
,,,,,,,,,,,,,,0,1,,,,
,,,,,,,,,,,,,,0,2,,,,1
IXIDRMW,RMEM,0,R,,X,RMEM,0,0,+,,,,,0,0,,,,
,ALUOUT,0,R,,ALUOUT,0,0,1,+,,,,,0,0,,,,
,ALUOUT,0,R,,,,,,,,,,,0,0,,,,
,RMEMBUFFER,RMEM,R,,,,,,,,,,,0,0,,,,
,,,W,RMEM,,,,,,,,,,0,1,,,,
,,,W,,,,,,,,,,,0,2,1,,,1
IXIDW,RMEM,0,R,,X,RMEM,0,0,+,,,,,0,0,,,,
,ALUOUT,0,R,,ALUOUT,0,0,1,+,,,,,0,0,,,,
,ALUOUT,0,R,,,,,,,,,,,0,0,,,,
,RMEMBUFFER,RMEM,W,instr_store,,,,,,,,,,0,0,1,,,1
IDIXR,RMEM,0,R,,RMEM,0,0,1,+,,,,,0,0,,,,
,ALUOUT,0,R,,Y,RMEM,0,0,+,,,,,0,0,,,,
,ALUOUT,RMEM,R,,RMEM,0,0,ALUCOUT,+,,,,,0,0,,,1,
,,ALUOUT,R,,,,,,,,,,,0,0,1,,,
,,,,,,,,,,,,,,0,1,,,,
,,,,,,,,,,,,,,0,2,,,,1
IDIXRMW,RMEM,0,R,,RMEM,0,0,1,+,,,,,0,0,,,,
,ALUOUT,0,R,,Y,RMEM,0,0,+,,,,,0,0,,,,
,ALUOUT,RMEM,R,,RMEM,0,0,ALUCOUT,+,,,,,0,0,,,,
,,ALUOUT,R,,,,,,,,,,,0,0,,,,
,,,W,RMEM,,,,,,,,,,0,1,,,,
,,,W,,,,,,,,,,,0,2,1,,,1
IDIXW,RMEM,0,R,,RMEM,0,0,1,+,,,,,0,0,,,,
,ALUOUT,0,R,,Y,RMEM,0,0,+,,,,,0,0,,,,
,ALUOUT,RMEM,R,,RMEM,0,0,ALUCOUT,+,,,,,0,0,,,,
