,ADDRLOSRC,ADDRHISRC,R/W,WMEMSRC,ALU1SRC,ALU2SRC,ALU2INV,ALUCINSRC,ALUOP,SPSRC,PCLOSRC,PCHISRC,Status,INCPC,OPCODECTRL,STARTFETCH,STARTDECODE,CSKIP,Stop uCode
,0,ALUOUT,R,,ALUOUT,0,0,1,+,,,,,0,0,,,,
,0,ALUOUT,R,,,,,,,,,,,0,0,,,,
,RMEMBUFFER,RMEM,R,,,,,,,,,,,0,0,1,,,
,,,,,,,,,,,,,,0,1,,,,
,,,,,,,,,,,,,,0,2,,,,1
IXIDRMW,0,RMEM,R,,X,RMEM,0,0,+,,,,,0,0,,,,
,0,ALUOUT,R,,ALUOUT,0,0,1,+,,,,,0,0,,,,
,0,ALUOUT,R,,,,,,,,,,,0,0,,,,
,RMEMBUFFER,RMEM,R,,,,,,,,,,,0,0,,,,
,,,W,RMEM,,,,,,,,,,0,1,,,,
,,,W,,,,,,,,,,,0,2,1,,,1
IXIDW,0,RMEM,R,,X,RMEM,0,0,+,,,,,0,0,,,,
,0,ALUOUT,R,,ALUOUT,0,0,1,+,,,,,0,0,,,,
,0,ALUOUT,R,,,,,,,,,,,0,0,,,,
,RMEMBUFFER,RMEM,W,instr_str,,,,,,,,,,0,0,1,,,1
IDIXR,0,RMEM,R,,RMEM,0,0,1,+,,,,,0,0,,,,
,0,ALUOUT,R,,Y,RMEM,0,0,+,,,,,0,0,,,,
,ALUOUT,RMEM,R,,RMEM,0,0,ALUCOUT,+,,,,,0,0,,,1,
,,ALUOUT,R,,,,,,,,,,,0,0,1,,,
,,,,,,,,,,,,,,0,1,,,,
,,,,,,,,,,,,,,0,2,,,,1
IDIXRMW,0,RMEM,R,,RMEM,0,0,1,+,,,,,0,0,,,,
,0,ALUOUT,R,,Y,RMEM,0,0,+,,,,,0,0,,,,
,ALUOUT,RMEM,R,,RMEM,0,0,ALUCOUT,+,,,,,0,0,,,,
,,ALUOUT,R,,,,,,,,,,,0,0,,,,
,,,W,RMEM,,,,,,,,,,0,1,,,,
,,,W,,,,,,,,,,,0,2,1,,,1
IDIXW,0,RMEM,R,,RMEM,0,0,1,+,,,,,0,0,,,,
,0,ALUOUT,R,,Y,RMEM,0,0,+,,,,,0,0,,,,
,ALUOUT,RMEM,R,,RMEM,0,0,ALUCOUT,+,,,,,0,0,,,,
,,ALUOUT,W,instr_str,,,,,,,,,,0,0,1,,,1
ABSID,PCLO,PCHI,R,,RMEM,0,0,1,+,,,,,1,0,,,,
,RMEMBUFFER,RMEM,R,,,,,,,,,,,0,0,,,,
,ALUOUT,,R,,,,,,,,RMEM,,,0,0,,,,
,PCLO,RMEM,R,,,,,,,,,RMEM,,1,0,1,,,1
